date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM,strategy_key
2025-04-01,0.0,0.0059486689653240514,0.0,0.13161625754473918,0.0,5.616351062598119e-18,0.0,0.0,0.0,0.06384101105182924,0.002371939285355441,0.06320206289995628,0.12021411188469856,0.0630333081706443,3.426935455306753e-17,0.08759668103067386,0.08152586974758226,0.08065008941919687,0.14999999999999988,1.0724147065039141e-16,0.14999999999999988,0.0,2.0442565811530493e-17,Momentum_tilt_pred_predtop_test
2025-07-01,0.14999999999999958,8.105055891872824e-17,0.0,0.0,4.934100611702564e-18,0.07352411606505192,0.14999999999999997,0.12501653079211028,8.600964563803159e-17,0.00045022162872679935,0.0,1.3330767355660172e-16,0.14999999999999997,0.0,0.0,3.129906661665735e-17,0.0904374625337796,0.11057166898033179,0.14999999999999997,0.0,0.0,2.332261967512718e-18,0.0,Momentum_tilt_pred_predtop_test
2025-10-01,0.11142861172659935,0.1499999999999997,0.015378333859896353,0.14999999999999977,0.06329348656800017,0.01805874251856437,1.0466987626678286e-16,0.0,0.016703303983790444,0.06784796273474755,5.3304499335632854e-17,4.6040008217151683e-17,9.74635815415792e-17,1.36128972931073e-16,0.14999999999999997,6.791305333534027e-17,0.15,5.629689085454513e-18,0.10728955860840185,9.433626286486457e-18,6.552479986217e-17,5.272767027394304e-18,1.3714846248506164e-17,Momentum_tilt_pred_predtop_test
2025-01-02,0.005926663627597908,6.241631884925517e-17,2.2085911156694853e-17,6.436188930064369e-17,0.0,0.14576144329765728,0.0,6.794715893719291e-17,3.528250156021721e-17,0.025240172134006558,0.0,0.0009597780519648252,0.07715875517980304,0.022499280020491383,0.025378724236468923,0.15,0.15,0.0323362321472451,0.15,0.00474145463097887,0.05999749667378596,0.14999999999999997,0.0,Momentum_tilt_pred_predensemble
2025-04-01,6.08438953739531e-17,5.987020155994556e-17,2.7644915528333225e-17,0.0995703036034444,1.3967887760427332e-17,9.558337258070685e-18,4.512338188858304e-17,9.12881860788664e-17,5.599410592827669e-18,0.003676922576636797,0.004555136901871748,0.14999999999999997,0.15,0.0760266703474976,0.045308451776388564,0.0,0.022908652796620684,0.11901370773705855,0.15,0.0,0.14999999999999994,0.02894015426048146,1.0308151335939975e-18,Momentum_tilt_pred_predensemble
2025-07-01,0.14999999999999997,0.0,0.14512751937530732,0.06350778974566067,0.007768659461398788,1.403079712253289e-17,0.1499999999999999,0.14999999999999986,9.775894735422381e-17,1.813397878832617e-16,0.0,3.351001384342821e-17,0.14999999999999997,0.01087753040953192,0.0,0.0,0.008627137769817658,0.014091363238283718,0.14999999999999997,0.0,1.663916221762908e-17,0.0,0.0,Momentum_tilt_pred_predensemble
2025-10-01,1.960973645032539e-16,0.14999999999999997,0.0,0.14999999999999988,0.0,0.10157147154854793,0.0,0.0,0.14842852845145185,1.5034674455823993e-16,1.711206102311486e-17,8.215124261234442e-18,0.0,2.8217453073477875e-17,9.136081044228596e-17,1.0639154419105884e-16,0.14999999999999997,9.229406593038041e-17,0.14999999999999983,0.0,0.14999999999999997,6.102883185063992e-17,0.0,Momentum_tilt_pred_predensemble
2025-01-02,0.15000000000000002,1.503192405482427e-17,0.0,1.764586773005104e-17,0.016667140670602248,0.12993143458571427,1.8586157296793812e-17,0.056104724817739274,0.13177694850417362,4.097569619627624e-17,1.7896672477728814e-17,0.1083301948545358,0.11671228004238142,0.030448113595541025,5.477687163323072e-18,5.7196438327104895e-18,7.48528401126208e-18,1.3678053981226425e-17,1.5463487341450335e-17,0.03458871093943309,0.14999999999999997,1.6805270525191645e-17,0.07544045198987931,BlackLitterman_pred_predtop_val
2025-04-01,0.005084428177546824,1.2577262460191847e-17,0.0,0.014524791441211344,0.0,0.11474350663900733,0.10970443816961709,0.0,0.005001446740716624,0.03340383193809099,0.12047173967104952,2.6486594328653636e-17,0.12850612244411294,0.018559694778647527,0.0,0.15,1.7205291748435724e-19,0.0,0.1499999999999999,0.15,9.843907069487189e-17,6.858670881026841e-18,0.0,BlackLitterman_pred_predtop_val
2025-07-01,0.1499999999999999,0.061140808346238945,0.0,0.14999999999999997,0.0,0.0,0.11151029002176664,0.004407115200220541,0.0,1.5263861632798543e-18,0.05194298438392157,0.0,0.01581560054952034,0.1186252512434673,0.0,2.71875134240078e-17,0.14999999999999997,0.0,0.14999999999999997,0.03655795025486468,1.2501685731939947e-17,0.0,0.0,BlackLitterman_pred_predtop_val
2025-10-01,0.0,0.011854234162467503,5.812701856596332e-18,9.539991176359984e-18,7.192321241563292e-17,0.04619786961270973,1.3228515044866636e-17,0.0,0.0,2.1027636605861792e-17,9.866942226588427e-18,0.14999999999999997,0.1499999999999999,0.0,0.14999999999999997,0.14033797833650388,2.1503671940431756e-17,1.0607894663324658e-17,0.05160991788831889,0.0,0.14999999999999997,7.091045050776001e-20,0.14999999999999994,BlackLitterman_pred_predtop_val
2025-01-02,0.0,0.013863351463919869,0.0,1.4912112776625654e-17,0.0580031517662444,0.12515727930111864,0.0,0.0,0.0,0.0,0.024795319243058958,0.0,1.2022248118830793e-17,0.019512691754986825,0.15,0.0997000515917063,0.1022692230220001,0.0,0.14863449313179528,0.04318404012996613,0.09588966989313974,0.08304733819174359,0.03594339051032009,BlackLitterman_pred_predtop_test
2025-04-01,1.2744879923265432e-17,0.07613971558207933,0.07036845062808124,0.012667331766652995,0.0,0.017757663618735216,5.060411943219194e-18,6.713164972916485e-18,0.09707306608230583,0.017807504085762368,0.14807597255172425,0.08178730815281705,0.042773845299296454,0.02034426744171688,0.0,0.06416266474400903,0.05104221004681944,0.0,0.0,0.0,0.15,0.15,5.301825090842932e-18,BlackLitterman_pred_predtop_test
