input_window,output_window,model_family,model_name,preprocessing,mae_train,mae_val,mae_test,rank_test_by_window,rank_val_by_window,best_val_mae,best_epoch,epochs_trained,n_params,lr,batch_size,elapsed_sec,source_file,model_path,notes
30,5,rnn,RNN,log_returns,0.0051790791387093,0.0051611277148487,0.0056507437855849,4.0,4.0,,,217.0,1231.0,,,,rnn_resultados.csv,,
30,5,baseline,Regresión lineal,log_returns,0.005215624313046,0.0055069082891893,0.0059150763923875,5.0,7.0,,,,15893.0,,,,regresion_lineal_resultados.csv,,
30,5,competition_winner,mixto_convLSTM_causal,mixed,,0.0039713094010949,0.0066318167373538,6.0,1.0,,,,56023.0,,,,matriz_competicion.csv,,
30,5,cnn,CNN,log_returns,0.0041242319048968,0.0045321059978804,0.007735218419824,7.0,2.0,,336.0,,11287.0,,,,results_cnn.csv,,
30,5,baseline,Buy and Hold,prices,0.0129650382668452,0.0127621075627196,0.0137175741404345,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
30,30,mlp,MLP,log_returns,0.0021337858977644,0.0021434887298697,0.0023294861042351,1.0,6.0,,,14.0,2879.0,,,,mlp_resultados.csv,,
30,30,rnn,RNN,log_returns,0.001952802489265,0.0019480009265385,0.0023390855471298,2.0,5.0,,,162.0,1231.0,,,,rnn_resultados.csv,,
30,30,baseline,Regresión lineal,log_returns,0.0020977894548693,0.0022135623611855,0.0024358866299026,3.0,7.0,,,,15893.0,,,,regresion_lineal_resultados.csv,,
30,30,cnn,CNN normal returns,log_returns,0.00136101,0.00138936,0.0024574,4.0,3.0,0.00138936,272.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,30,cnn,CNN FD,fractional_differentiation,0.00145296,0.00149385,0.00263333,5.0,4.0,0.00149384,332.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,30,cnn,CNN,log_returns,0.0011918011639858,0.00124315139769,0.0027691381167758,6.0,2.0,,566.0,,11287.0,,,,results_cnn.csv,,
30,30,competition_winner,mixto_adaptativo,mixed,,0.0007318599964492,0.0029476485215127,7.0,1.0,,,,66647.0,,,,matriz_competicion.csv,,
30,30,baseline,Buy and Hold,prices,0.0118571369187135,0.0117264753758687,0.012538158333465,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
30,90,mlp,MLP,log_returns,0.0012174192259557,0.0012339790455282,0.0012749767835552,1.0,6.0,,,14.0,2879.0,,,,mlp_resultados.csv,,
30,90,rnn,RNN,log_returns,0.0010901851164025,0.0010942326076628,0.0013060281257043,2.0,5.0,,,164.0,1231.0,,,,rnn_resultados.csv,,
30,90,baseline,Regresión lineal,log_returns,0.0012001149616255,0.0012791152514538,0.0013514954831463,3.0,7.0,,,,15893.0,,,,regresion_lineal_resultados.csv,,
30,90,cnn,CNN normal returns,log_returns,0.00074176,0.00074857,0.00136015,4.0,4.0,0.00074857,249.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,90,cnn,CNN,log_returns,0.000559117339828,0.0005871506311129,0.0014648840114025,5.0,2.0,,713.0,,11287.0,,,,results_cnn.csv,,
30,90,competition_winner,mixto_adaptativo,mixed,,0.0002585383481346,0.0015475340187549,6.0,1.0,,,,66647.0,,,,matriz_competicion.csv,,
30,90,cnn,CNN FD,fractional_differentiation,0.00071539,0.00073475,0.00193075,7.0,3.0,0.00073475,243.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
30,90,baseline,Buy and Hold,prices,0.011668425511176,0.0117326909251881,0.0122275710328428,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
90,1,cnn,CNN FD,fractional_differentiation,0.01182752,0.01182602,0.01123982,1.0,6.0,0.01182602,158.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,1,competition_winner,mixto_multibranch,mixed,,0.0115271070972085,0.0123159736394882,2.0,3.0,,,,54103.0,,,,matriz_competicion.csv,,
90,1,rnn,RNN,log_returns,0.0115505070173634,0.0115294106057762,0.0123168984688267,3.0,4.0,,,26.0,563.0,,,,rnn_resultados.csv,,
90,1,cnn,CNN,log_returns,0.0115697123905711,0.0112541208155385,0.0123202702597439,4.0,2.0,,7.0,,1095.0,,,,results_cnn.csv,,
90,1,cnn,CNN normal returns,log_returns,0.01156909,0.01125335,0.01232163,5.0,1.0,0.01125335,156.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,1,mlp,MLP,log_returns,0.0114240693493406,0.0116415924943091,0.0124311063978039,6.0,5.0,,,41.0,11447.0,,,,mlp_resultados.csv,,
90,1,baseline,Regresión lineal,log_returns,0.0109115035950445,0.0133761017703586,0.0141827706101374,7.0,7.0,,,,47633.0,,,,regresion_lineal_resultados.csv,,
90,1,baseline,Buy and Hold,prices,0.016354973881409,0.0164446613166531,0.0178794922311243,8.0,8.0,,,,,,,,buy_and_hold_resultados.csv,,
90,5,cnn,CNN FD,fractional_differentiation,0.00543302,0.00546655,0.00518885,1.0,5.0,0.00546655,155.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,5,rnn,RNN,log_returns,0.0052463630180839,0.0054061748745643,0.0056097982458952,2.0,4.0,,,165.0,563.0,,,,rnn_resultados.csv,,
90,5,cnn,CNN normal returns,log_returns,0.00534088,0.00534347,0.00561357,3.0,2.0,0.00534346,1.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,5,mlp,MLP,log_returns,0.0051374669976176,0.0053917061365089,0.0057373404883502,4.0,3.0,,,23.0,2879.0,,,,mlp_resultados.csv,,
90,5,competition_winner,mixto_profMIX,mixed,,0.0038809976540505,0.0062703355215489,5.0,1.0,,,,120983.0,,,,matriz_competicion.csv,,
90,5,baseline,Regresión lineal,log_returns,0.004960282805531,0.0061627251017151,0.0063798287287524,6.0,6.0,,,,47633.0,,,,regresion_lineal_resultados.csv,,
90,5,baseline,Buy and Hold,prices,0.012937299313709,0.0130874086817183,0.0137339604286823,7.0,7.0,,,,,,,,buy_and_hold_resultados.csv,,
90,30,rnn,RNN,log_returns,0.0020378793704788,0.0020406972127167,0.002337506939029,1.0,4.0,,,204.0,563.0,,,,rnn_resultados.csv,,
90,30,mlp,MLP,log_returns,0.0019781992628096,0.0020498973849461,0.0023830756653964,2.0,5.0,,,77.0,2879.0,,,,mlp_resultados.csv,,
90,30,baseline,Regresión lineal,log_returns,0.0019762229853306,0.0023893627416708,0.0026277728200081,3.0,6.0,,,,47633.0,,,,regresion_lineal_resultados.csv,,
90,30,competition_winner,mixto_convLSTM_causal,mixed,,0.0007253317162394,0.0027530991937965,4.0,1.0,,,,56023.0,,,,matriz_competicion.csv,,
90,30,cnn,CNN normal returns,log_returns,0.00165027,0.00162708,0.00279237,5.0,2.0,0.00162708,275.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,30,cnn,CNN FD,fractional_differentiation,0.00167324,0.00167662,0.00387855,6.0,3.0,0.00167661,245.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,30,baseline,Buy and Hold,prices,0.0118532400453917,0.0118557124528759,0.0125342791333645,7.0,7.0,,,,,,,,buy_and_hold_resultados.csv,,
90,90,rnn,RNN,log_returns,0.001090801638319,0.0010997116252933,0.0012687341591083,1.0,9.0,,,243.0,563.0,,,,rnn_resultados.csv,,
90,90,hybrid,profMIX,log_returns,,0.0003177835023961,0.0012769632739946,2.0,4.0,,,132.0,120983.0,0.001,64.0,1064.0,mixto_deepdive_finals.csv,C:\Users\ALBER\Desktop\Instituto BME\Assigments BME\Modulo 3\ML final\models\mixto_dd_profMIX_in90_out90.keras,
90,90,hybrid,adaptativo,log_returns,,0.0003528782981447,0.0013440526090562,3.0,5.0,,,186.0,79959.0,0.001,32.0,1059.5,mixto_deepdive_finals.csv,C:\Users\ALBER\Desktop\Instituto BME\Assigments BME\Modulo 3\ML final\models\mixto_dd_adaptativo_in90_out90.keras,
90,90,mlp,MLP,log_returns,0.0011119673326,0.0011619615944936,0.0013442752363329,4.0,10.0,,,83.0,2879.0,,,,mlp_resultados.csv,,
90,90,cnn,CNN normal returns,log_returns,0.00080403,0.00082034,0.00139028,5.0,8.0,0.00082034,159.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,90,hybrid,multibranch,log_returns,,0.0004068352864123,0.0013986809644848,6.0,6.0,,,131.0,54103.0,0.0005,32.0,683.8,mixto_deepdive_finals.csv,C:\Users\ALBER\Desktop\Instituto BME\Assigments BME\Modulo 3\ML final\models\mixto_dd_multibranch_in90_out90.keras,
90,90,hybrid,biGRU_attention,log_returns,,0.0002947282628156,0.0014202463207766,7.0,3.0,,,139.0,109975.0,0.001,32.0,1557.8,mixto_deepdive_finals.csv,C:\Users\ALBER\Desktop\Instituto BME\Assigments BME\Modulo 3\ML final\models\mixto_dd_biGRU_attention_in90_out90.keras,
90,90,competition_winner,mixto_convLSTM_causal,mixed,,0.0002930925984401,0.0014657083665952,8.0,2.0,,,,56023.0,,,,matriz_competicion.csv,,
90,90,hybrid,convLSTM_causal,log_returns,,0.0002766117104329,0.0014802002115175,9.0,1.0,,,198.0,56023.0,0.001,32.0,1311.5,mixto_deepdive_finals.csv,C:\Users\ALBER\Desktop\Instituto BME\Assigments BME\Modulo 3\ML final\models\mixto_dd_convLSTM_causal_in90_out90.keras,
90,90,baseline,Regresión lineal,log_returns,0.0011258821689267,0.0013680916826226,0.0014955554220742,10.0,11.0,,,,47633.0,,,,regresion_lineal_resultados.csv,,
90,90,cnn,CNN FD,fractional_differentiation,0.00075756,0.00076952,0.00161134,11.0,7.0,0.00076952,226.0,,,,,,cnn_comparison_fd_vs_normal.csv,,
90,90,baseline,Buy and Hold,prices,0.0116773363799442,0.0117560239672773,0.0122184690670231,12.0,12.0,,,,,,,,buy_and_hold_resultados.csv,,
