variante,model_name,input_window,output_window,n_params,mae_train,mae_val,mae_test,epochs_entrenadas,learning_rate,batch_size,loss_final,val_loss_final,model_path,timestamp
multibranch,mixto_multibranch_in10_out30,10,30,28055,0.0013359176227822,0.0015181679045781,0.002527828561142,181,0.001,128,0.4849022328853607,0.5205146670341492,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in10_out30.keras,2026-05-18T04:13:02
multibranch,mixto_multibranch_in10_out90,10,90,28055,0.0006856143008917,0.0007971072336658,0.0013876573648303,200,0.001,128,0.4523415863513946,0.4868606328964233,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in10_out90.keras,2026-05-18T04:14:33
multibranch,mixto_multibranch_in30_out1,30,1,45463,0.0115434611216187,0.0115413200110197,0.0122998096048831,21,0.00025,64,0.6904633641242981,0.6948927044868469,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in30_out1.keras,2026-05-18T04:15:11
multibranch,mixto_multibranch_in30_out5,30,5,45463,0.0036632735282182,0.0041032615117728,0.0067413100041449,185,0.0005,64,0.5103635787963867,0.5477594137191772,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in30_out5.keras,2026-05-18T04:20:13
multibranch,mixto_multibranch_in30_out30,30,30,45463,0.0009106848156079,0.0009947895305231,0.0027035749517381,191,0.0005,64,0.375927597284317,0.343804270029068,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in30_out30.keras,2026-05-18T04:25:53
multibranch,mixto_multibranch_in30_out90,30,90,45463,0.0004353108233772,0.0004706656036432,0.0014270341489464,164,0.0005,64,0.34174844622612,0.2890039384365082,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in30_out90.keras,2026-05-18T04:30:32
multibranch,mixto_multibranch_in90_out1,90,1,54103,0.0115475999191403,0.0115271070972085,0.0123159736394882,22,0.00025,32,0.6904675364494324,0.6952033042907715,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in90_out1.keras,2026-05-18T04:32:38
multibranch,mixto_multibranch_in90_out5,90,5,54103,0.0037353015504777,0.0042376946657896,0.0070751700550317,214,0.0005,32,0.5207390785217285,0.569872260093689,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in90_out5.keras,2026-05-18T04:52:48
multibranch,mixto_multibranch_in90_out30,90,30,54103,0.0009429323836229,0.0010042687645182,0.0027085845358669,167,0.0005,32,0.3960013091564178,0.3503912091255188,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in90_out30.keras,2026-05-18T05:06:14
multibranch,mixto_multibranch_in90_out90,90,90,54103,0.0003996435843873,0.0004220411647111,0.0014804183738306,134,0.0005,32,0.3393868803977966,0.261202335357666,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_multibranch_in90_out90.keras,2026-05-18T05:18:39
biGRU_attention,mixto_biGRU_attention_in5_out1,5,1,20807,0.0115520767867565,0.0114368656650185,0.0122940484434366,23,0.00025,128,0.6888498663902283,0.6832382678985596,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in5_out1.keras,2026-05-18T05:18:58
biGRU_attention,mixto_biGRU_attention_in5_out5,5,5,20807,0.0045942058786749,0.0050359931774437,0.0061380872502923,105,0.0005,128,0.6219026446342468,0.6768578886985779,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in5_out5.keras,2026-05-18T05:20:09
biGRU_attention,mixto_biGRU_attention_in5_out30,5,30,20807,0.0017298487946391,0.0019220683025196,0.0024982248432934,148,0.0005,128,0.602342963218689,0.6631202697753906,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in5_out30.keras,2026-05-18T05:21:47
biGRU_attention,mixto_biGRU_attention_in5_out90,5,90,20807,0.0009602002683095,0.0010840891627594,0.0014179854188114,135,0.0005,128,0.595762312412262,0.6649274826049805,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in5_out90.keras,2026-05-18T05:23:29
biGRU_attention,mixto_biGRU_attention_in10_out1,10,1,77015,0.0115346610546112,0.0116569781675934,0.0122944582253694,16,0.00025,128,0.6900904178619385,0.7000139951705933,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in10_out1.keras,2026-05-18T05:23:59
biGRU_attention,mixto_biGRU_attention_in10_out5,10,5,77015,0.0037447987124323,0.0042991144582629,0.0062698819674551,200,0.0005,128,0.5180087685585022,0.5767768025398254,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in10_out5.keras,2026-05-18T05:28:56
biGRU_attention,mixto_biGRU_attention_in10_out30,10,30,77015,0.001086801290512,0.0012758973753079,0.002648043911904,200,0.0005,128,0.4163556694984436,0.4379715025424957,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in10_out30.keras,2026-05-18T05:33:44
biGRU_attention,mixto_biGRU_attention_in10_out90,10,90,77015,0.0005520152626559,0.0006512963445857,0.0014588608173653,200,0.0005,128,0.3850341141223907,0.3980078399181366,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in10_out90.keras,2026-05-18T05:38:33
biGRU_attention,mixto_biGRU_attention_in30_out1,30,1,77015,0.0115451831370592,0.0115437367931008,0.0122975325211882,19,0.00015,64,0.6915871500968933,0.6960519552230835,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in30_out1.keras,2026-05-18T05:39:42
biGRU_attention,mixto_biGRU_attention_in30_out5,30,5,77015,0.0038486216217279,0.0042004426941275,0.0079838205128908,226,0.0003,64,0.5303393006324768,0.5616309642791748,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in30_out5.keras,2026-05-18T05:52:31
biGRU_attention,mixto_biGRU_attention_in30_out30,30,30,77015,0.0008241016766987,0.0009076194255612,0.0027700040955096,250,0.0003,64,0.3489305377006531,0.3149629235267639,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in30_out30.keras,2026-05-18T06:06:32
biGRU_attention,mixto_biGRU_attention_in30_out90,30,90,77015,0.0003435817197896,0.0003727218427229,0.0014160003047436,250,0.0003,64,0.2908516228199005,0.2301293015480041,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in30_out90.keras,2026-05-18T06:20:32
biGRU_attention,mixto_biGRU_attention_in90_out1,90,1,109975,0.011554317548871,0.0115298219025135,0.0123152406886219,19,0.00015,32,0.6933483481407166,0.6940659880638123,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in90_out1.keras,2026-05-18T06:24:29
biGRU_attention,mixto_biGRU_attention_in90_out5,90,5,109975,0.0039037363603711,0.0043508950620889,0.0103213721886277,208,0.0003,32,0.5429224371910095,0.5853595733642578,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in90_out5.keras,2026-05-18T07:05:38
biGRU_attention,mixto_biGRU_attention_in90_out30,90,30,109975,0.0007880117045715,0.0008537588873878,0.0029931496828794,244,0.0003,32,0.3443805575370788,0.2975715398788452,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in90_out30.keras,2026-05-18T07:47:30
biGRU_attention,mixto_biGRU_attention_in90_out90,90,90,109975,0.0003368881880305,0.0003595511370804,0.0015352123882621,183,0.0003,32,0.2912988066673279,0.2230996638536453,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_biGRU_attention_in90_out90.keras,2026-05-18T08:23:36
adaptativo,mixto_adaptativo_in5_out1,5,1,7783,0.011549218557775,0.0114519307389855,0.0123027469962835,23,0.0005,128,0.6881191730499268,0.6843329668045044,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in5_out1.keras,2026-05-18T08:23:48
adaptativo,mixto_adaptativo_in5_out5,5,5,7783,0.0048361299559473,0.0052189100533723,0.0059603876434266,69,0.001,128,0.6446301341056824,0.7024242877960205,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in5_out5.keras,2026-05-18T08:24:16
adaptativo,mixto_adaptativo_in5_out30,5,30,7783,0.0018760119564831,0.0020406276453286,0.0025115686003118,143,0.001,128,0.6461856961250305,0.7024961709976196,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in5_out30.keras,2026-05-18T08:25:11
adaptativo,mixto_adaptativo_in5_out90,5,90,7783,0.001034686807543,0.0011713686399161,0.0014280219329521,107,0.001,128,0.6310518980026245,0.7183850407600403,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in5_out90.keras,2026-05-18T08:25:56
adaptativo,mixto_adaptativo_in10_out1,10,1,12375,0.011477256193757,0.0116538368165493,0.0123159689828753,29,0.0005,128,0.6770023703575134,0.7033460140228271,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in10_out1.keras,2026-05-18T08:26:15
adaptativo,mixto_adaptativo_in10_out5,10,5,12375,0.0043722013942897,0.0047908374108374,0.0063140061683952,87,0.001,128,0.5863799452781677,0.6448466181755066,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in10_out5.keras,2026-05-18T08:27:05
adaptativo,mixto_adaptativo_in10_out30,10,30,12375,0.0015744378324598,0.0017101461999118,0.002663007704541,152,0.001,128,0.5397111177444458,0.5868821740150452,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in10_out30.keras,2026-05-18T08:28:17
adaptativo,mixto_adaptativo_in10_out90,10,90,12375,0.0008326403331011,0.0009272027527913,0.0015134708955883,200,0.001,128,0.507129430770874,0.5670170187950134,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in10_out90.keras,2026-05-18T08:29:45
adaptativo,mixto_adaptativo_in30_out1,30,1,66647,0.0115465158596634,0.0115446420386433,0.0123034985736012,17,0.0005,64,0.630134105682373,0.7258220911026001,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in30_out1.keras,2026-05-18T08:30:25
adaptativo,mixto_adaptativo_in30_out5,30,5,66647,0.002909421455115,0.0039966567419469,0.0070331231690943,131,0.001,64,0.3895038962364197,0.5348556041717529,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in30_out5.keras,2026-05-18T08:35:08
adaptativo,mixto_adaptativo_in30_out30,30,30,66647,0.0005299485637806,0.0007318599964492,0.0029476485215127,250,0.001,64,0.184125930070877,0.2543365657329559,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in30_out30.keras,2026-05-18T08:46:10
adaptativo,mixto_adaptativo_in30_out90,30,90,66647,0.0001892653963295,0.0002585383481346,0.0015475340187549,250,0.001,64,0.1169333457946777,0.1597407907247543,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in30_out90.keras,2026-05-18T09:03:59
adaptativo,mixto_adaptativo_in90_out1,90,1,79959,0.011548301205039,0.0115278242155909,0.0123177524656057,21,0.00025,32,0.6716998219490051,0.70578932762146,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in90_out1.keras,2026-05-18T09:08:58
adaptativo,mixto_adaptativo_in90_out5,90,5,79959,0.003836719552055,0.0045207925140857,0.0066815926693379,165,0.0005,32,0.5243389010429382,0.6089854836463928,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in90_out5.keras,2026-05-18T09:50:06
adaptativo,mixto_adaptativo_in90_out30,90,30,79959,0.0007433306309394,0.0008671274990774,0.0026283864863216,201,0.0005,32,0.3294683992862701,0.3038641512393951,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in90_out30.keras,2026-05-18T10:09:48
adaptativo,mixto_adaptativo_in90_out90,90,90,79959,0.00032886472763493657,0.00036843930138275027,0.0013925158418715,168,0.0005,32,0.28784841299057007,0.2287590503692627,C:/Users/ALBER/Desktop/Instituto BME/Assigments BME/Modulo 3/ML final/models/mixto_adaptativo_in90_out90.keras,2026-05-18T10:42:54
